season,stage,map_winner,map_loser,map_name,map_type,match_count
2,Three,Los Angeles Valiant,London Spitfire,Nepal,Control,3
2,Season 2 Championship,New York Excelsior,Atlanta Reign,Busan,Control,3
1,Four,draw,draw,Hanamura,Assault,12
2,Two,Hangzhou Spark,Paris Eternal,Lijiang Tower,Control,3
2,One,Shanghai Dragons,Hangzhou Spark,Horizon Lunar Colony,Assault,4
1,One,Boston Uprising,London Spitfire,Temple of Anubis,Assault,4
1,Three,Florida Mayhem,Dallas Fuel,Numbani,Hybrid,2
2,Season 2 Championship,Hangzhou Spark,Los Angeles Gladiators,Eichenwalde,Hybrid,4
2,Two,Los Angeles Gladiators,Guangzhou Charge,Temple of Anubis,Assault,4
2,Three,Philadelphia Fusion,Washington Justice,Horizon Lunar Colony,Assault,4
2,Season 2 Championship,San Francisco Shock,Vancouver Titans,Eichenwalde,Hybrid,4
3,OWL 2020 Regular Season,New York Excelsior,Chengdu Hunters,Lijiang Tower,Control,2
2,Three,Atlanta Reign,Toronto Defiant,Oasis,Control,2
2,Three,Shanghai Dragons,Philadelphia Fusion,Dorado,Escort,2
2,Three,London Spitfire,New York Excelsior,Paris,Assault,4
2,Three,Hangzhou Spark,Dallas Fuel,Numbani,Hybrid,2
1,One,San Francisco Shock,Florida Mayhem,Ilios,Control,2
3,OWL 2020 Regular Season,New York Excelsior,London Spitfire,Hollywood,Hybrid,2
3,OWL 2020 Regular Season,Florida Mayhem,Houston Outlaws,Havana,Escort,2
2,Three,Vancouver Titans,Dallas Fuel,Eichenwalde,Hybrid,2
1,Four,Philadelphia Fusion,San Francisco Shock,Lijiang Tower,Control,3
3,OWL 2020 Regular Season,San Francisco Shock,Dallas Fuel,Rialto,Escort,4
2,Four,Guangzhou Charge,Hangzhou Spark,Junkertown,Escort,2
2,One,Seoul Dynasty,London Spitfire,Route 66,Escort,2
1,Four,Philadelphia Fusion,London Spitfire,King's Row,Hybrid,2
3,OWL 2020 Regular Season,Chengdu Hunters,Shanghai Dragons,Eichenwalde,Hybrid,2
1,One,Philadelphia Fusion,Shanghai Dragons,Lijiang Tower,Control,2
2,Three,New York Excelsior,London Spitfire,Havana,Escort,2
2,Four,Washington Justice,Vancouver Titans,Ilios,Control,2
2,One,Guangzhou Charge,Los Angeles Gladiators,Nepal,Control,2
1,Two,Dallas Fuel,London Spitfire,Hollywood,Hybrid,4
1,Two - Title,New York Excelsior,Philadelphia Fusion,Volskaya Industries,Assault,2
1,Two,Philadelphia Fusion,Shanghai Dragons,Volskaya Industries,Assault,2
1,One - Title,London Spitfire,New York Excelsior,Dorado,Escort,2
1,Two,New York Excelsior,Houston Outlaws,Volskaya Industries,Assault,2
1,Two,San Francisco Shock,Los Angeles Valiant,Volskaya Industries,Assault,3
2,One,London Spitfire,Los Angeles Gladiators,Dorado,Escort,2
3,OWL 2020 Regular Season,Hangzhou Spark,Seoul Dynasty,Eichenwalde,Hybrid,2
1,Four,Seoul Dynasty,Shanghai Dragons,Hanamura,Assault,2
1,Four,London Spitfire,Los Angeles Valiant,Horizon Lunar Colony,Assault,2
1,Two,Los Angeles Gladiators,Los Angeles Valiant,Hollywood,Hybrid,2
2,One,Los Angeles Gladiators,Atlanta Reign,Temple of Anubis,Assault,2
3,OWL 2020 Regular Season,Houston Outlaws,Toronto Defiant,Lijiang Tower,Control,2
2,One,Los Angeles Gladiators,Atlanta Reign,Busan,Control,2
1,Four,Los Angeles Gladiators,Dallas Fuel,Oasis,Control,3
3,OWL 2020 Regular Season,San Francisco Shock,Los Angeles Valiant,Route 66,Escort,2
1,One,Florida Mayhem,Shanghai Dragons,Numbani,Hybrid,2
3,OWL 2020 Regular Season,Guangzhou Charge,Hangzhou Spark,Hanamura,Assault,2
1,Four,Florida Mayhem,Shanghai Dragons,Watchpoint: Gibraltar,Escort,4
2,One,Dallas Fuel,Shanghai Dragons,Hollywood,Hybrid,2
1,Four,London Spitfire,Florida Mayhem,Hanamura,Assault,2
2,One,London Spitfire,Hangzhou Spark,Horizon Lunar Colony,Assault,2
2,Four,Chengdu Hunters,Hangzhou Spark,Ilios,Control,3
3,OWL 2020 Regular Season,Vancouver Titans,Los Angeles Gladiators,King's Row,Hybrid,2
2,Two,Hangzhou Spark,Chengdu Hunters,Busan,Control,3
1,Inaugural Championship,Boston Uprising,Philadelphia Fusion,Hanamura,Assault,3
1,Three,Philadelphia Fusion,Seoul Dynasty,Blizzard World,Hybrid,2
2,Four,Vancouver Titans,San Francisco Shock,King's Row,Hybrid,4
1,One,Houston Outlaws,Dallas Fuel,Oasis,Control,2
2,Four,Shanghai Dragons,Toronto Defiant,Lijiang Tower,Control,3
1,Four,Los Angeles Valiant,Houston Outlaws,Oasis,Control,3
1,Two,London Spitfire,Florida Mayhem,King's Row,Hybrid,2
1,Three,Los Angeles Gladiators,Florida Mayhem,Numbani,Hybrid,2
